Date,Open,High,Low,Close,Adj Close,Volume
2008-09-12,8.9,8.9,8.9,8.9,7.811134,1000
2008-09-15,8.9,8.9,8.9,8.9,7.811134,0
2008-09-16,8.99,8.99,8.99,8.99,7.890124,100
2008-09-17,8.99,8.99,8.99,8.99,7.890124,0
2008-09-18,8.7,8.7,8.6,8.7,7.6356020000000004,1100
2008-09-19,8.85,8.86,8.8,8.82,7.740921000000001,3500
2008-09-22,8.8,8.8,8.8,8.8,7.72337,900
2008-09-23,8.74,8.8,8.74,8.8,7.72337,15100
2008-09-24,8.7,8.8,8.6,8.6,7.5478369999999995,7200
2008-09-25,8.6,8.6,8.6,8.6,7.5478369999999995,0
2008-09-26,8.74,8.74,8.5,8.5,7.460072,7400
2008-09-29,8.5,8.9,8.25,8.85,7.767251,8200
2008-09-30,8.5,8.75,8.5,8.73,7.661931,14900
2008-10-01,8.99,8.99,7.5,7.5,6.582416,3100
2008-10-02,7.97,7.98,7.5,7.59,6.661405,7800
2008-10-03,7.52,8.56,7.52,8.27,7.258211,2900
2008-10-06,7.53,7.57,7.5,7.5,6.582416,2800
2008-10-07,7.5,7.98,7.5,7.96,6.986136999999999,72400
2008-10-08,7.51,7.51,7.0,7.5,6.582416,9900
2008-10-09,7.69,7.69,7.4,7.4,6.49465,6100
2008-10-10,7.01,7.8,7.0,7.0,6.143587999999999,2100
2008-10-13,7.99,7.99,7.12,7.9,6.933478,1100
2008-10-14,7.26,7.88,7.25,7.25,6.363002,400
2008-10-15,7.69,7.7,7.12,7.39,6.485875,1200
2008-10-16,7.16,7.16,7.0,7.0,6.143587999999999,4300
2008-10-17,7.14,7.14,6.9,7.0,6.143587999999999,4100
2008-10-20,7.0,7.13,7.0,7.0,6.143587999999999,3100
2008-10-21,7.26,7.26,6.6,6.61,5.801302,4500
2008-10-22,7.0,7.0,7.0,7.0,6.143587999999999,300
2008-10-23,6.6,6.6,6.6,6.6,5.7925260000000005,800
2008-10-24,6.6,6.6,6.6,6.6,5.7925260000000005,100
2008-10-27,6.35,6.72,6.35,6.5,5.704761,2000
2008-10-28,6.75,6.75,6.75,6.75,5.924174,100
2008-10-29,6.75,7.0,6.75,7.0,6.143587999999999,2000
2008-10-30,7.0,7.0,7.0,7.0,6.143587999999999,0
2008-10-31,7.0,7.0,7.0,7.0,6.143587999999999,0
2008-11-03,7.0,7.19,7.0,7.19,6.310341,1800
2008-11-04,7.0,7.03,6.89,7.0,6.143587999999999,5500
2008-11-05,7.0,7.25,7.0,7.15,6.275237000000001,3000
2008-11-06,7.02,7.03,6.55,6.99,6.134812,4100
2008-11-07,7.0,7.0,6.8,7.0,6.143587999999999,1000
2008-11-10,6.9,6.9,6.9,6.9,6.055823,2000
2008-11-11,6.3,6.69,6.3,6.5,5.704761,900
2008-11-12,6.5,6.5,6.5,6.5,5.704761,0
2008-11-13,6.54,7.0,6.54,7.0,6.143587999999999,1200
2008-11-14,7.0,7.1,7.0,7.1,6.2313540000000005,4100
2008-11-17,7.1,7.1,7.1,7.1,6.2313540000000005,0
2008-11-18,7.11,7.58,7.11,7.58,6.652628,700
2008-11-19,7.03,7.46,7.0,7.0,6.143587999999999,4200
2008-11-20,7.0,7.0,7.0,7.0,6.143587999999999,6100
2008-11-21,7.25,7.25,6.9,6.9,6.055823,10800
2008-11-24,6.7,6.7,6.7,6.7,5.880291000000001,1000
2008-11-25,6.7,6.7,6.7,6.7,5.880291000000001,0
2008-11-26,6.5,6.5,6.5,6.5,5.704761,1000
2008-11-28,6.3,6.3,6.05,6.06,5.318592,300
2008-12-01,6.44,6.44,6.44,6.44,5.652101999999999,400
2008-12-02,6.26,6.95,6.25,6.95,6.099705999999999,1000
2008-12-03,6.07,6.07,6.07,6.07,5.327369,200
2008-12-04,6.55,6.55,6.24,6.25,5.485346,9000
2008-12-05,6.2,6.2,6.1,6.1,5.353699,1900
2008-12-08,6.01,6.01,6.01,6.01,5.27471,800
2008-12-09,6.5,6.5,6.3,6.3,5.529229,2300
2008-12-10,6.3,6.3,6.3,6.3,5.529229,0
2008-12-11,6.23,6.23,6.2,6.2,5.441464,7700
2008-12-12,6.01,6.54,6.01,6.15,5.397581,3000
