Date,Open,High,Low,Close,Adj Close,Volume
2017-10-12,8.55,11.95,8.55,9.92,9.92,2820000
2017-10-13,9.93,10.195,9.19,9.6,9.6,303600
2017-10-16,9.63,9.77,8.56,8.95,8.95,229900
2017-10-17,8.91,8.97,8.68,8.77,8.77,124000
2017-10-18,8.73,8.824,6.98,7.01,7.01,220900
2017-10-19,7.05,7.149,6.52,6.61,6.61,448600
2017-10-20,6.73,7.77,6.73,6.96,6.96,251200
2017-10-23,7.0,7.44,7.0,7.21,7.21,123100
2017-10-24,7.24,7.64,7.136,7.48,7.48,93400
2017-10-25,7.63,7.63,7.201,7.31,7.31,60600
2017-10-26,7.95,7.95,7.23,7.44,7.44,57800
2017-10-27,7.5,7.5,7.01,7.2,7.2,73900
2017-10-30,7.05,7.22,6.61,6.61,6.61,57500
2017-10-31,6.87,7.249,6.62,7.18,7.18,70200
2017-11-01,7.08,7.296,6.93,7.11,7.11,37800
2017-11-02,7.0,7.15,6.751,6.89,6.89,65500
2017-11-03,6.82,7.08,6.6,6.92,6.92,38200
2017-11-06,6.81,6.81,6.5,6.5,6.5,56300
2017-11-07,6.48,6.6,6.36,6.48,6.48,27500
2017-11-08,6.46,6.46,6.25,6.35,6.35,33200
2017-11-09,6.28,6.331,5.361,5.76,5.76,72400
2017-11-10,5.76,7.376,5.735,7.19,7.19,121800
2017-11-13,7.19,7.19,6.401,6.69,6.69,42000
2017-11-14,6.56,6.58,6.3,6.55,6.55,23000
2017-11-15,6.44,6.5,6.3,6.31,6.31,31600
2017-11-16,6.17,6.5,5.86,6.1,6.1,39700
2017-11-17,6.0,6.072,5.91,6.0,6.0,25200
2017-11-20,5.9,6.39,5.88,5.88,5.88,45900
2017-11-21,6.18,6.18,5.805,5.81,5.81,30700
2017-11-22,5.93,6.0,5.76,6.0,6.0,27200
2017-11-24,6.0,6.0,5.84,6.0,6.0,27100
2017-11-27,5.84,6.2,5.84,6.11,6.11,49400
2017-11-28,6.02,6.16,5.86,6.16,6.16,53600
2017-11-29,6.0,6.15,5.8,6.0,6.0,45400
2017-11-30,6.0,6.2,5.87,6.05,6.05,37300
2017-12-01,6.06,6.23,5.89,6.18,6.18,52700
2017-12-04,6.25,6.325,6.03,6.1,6.1,22500
2017-12-05,6.04,6.6,6.04,6.31,6.31,49100
2017-12-06,6.31,6.41,5.96,6.0,6.0,33700
2017-12-07,6.05,6.307,5.58,5.58,5.58,49100
2017-12-08,5.64,5.86,5.29,5.33,5.33,76500
2017-12-11,5.78,5.78,5.39,5.5,5.5,56100
2017-12-12,5.43,5.735,5.43,5.45,5.45,46200
2017-12-13,5.6,5.89,5.42,5.52,5.52,79100
2017-12-14,5.79,5.79,5.33,5.4,5.4,55700
2017-12-15,5.61,5.61,4.77,4.86,4.86,214800
2017-12-18,5.05,5.319,4.84,4.96,4.96,82000
2017-12-19,4.91,4.91,4.694,4.73,4.73,63200
2017-12-20,4.76,4.84,4.54,4.57,4.57,47400
2017-12-21,4.8,4.8,4.54,4.63,4.63,50900
2017-12-22,4.57,4.69,4.29,4.31,4.31,51300
2017-12-26,4.33,4.33,3.96,4.08,4.08,99700
2017-12-27,4.05,4.45,4.05,4.4,4.4,115200
2017-12-28,4.4,4.64,4.36,4.47,4.47,76800
2017-12-29,4.564,4.9,4.49,4.6,4.6,93100
2018-01-02,4.631,5.0,4.631,4.94,4.94,51500
2018-01-03,4.98,5.23,4.75,4.9,4.9,98100
2018-01-04,4.87,5.25,4.86,5.16,5.16,166400
2018-01-05,5.13,5.4,5.02,5.11,5.11,106100
2018-01-08,5.15,5.151,4.78,4.81,4.81,66700
2018-01-09,4.85,4.85,4.37,4.52,4.52,50200
2018-01-10,4.53,4.75,4.36,4.41,4.41,21300
2018-01-11,4.45,4.68,4.35,4.41,4.41,39300
2018-01-12,4.4,4.62,4.31,4.39,4.39,56400
2018-01-16,4.53,4.53,4.05,4.07,4.07,98300
2018-01-17,4.05,4.58,3.93,4.52,4.52,218600
2018-01-18,4.48,4.51,4.05,4.12,4.12,161700
2018-01-19,4.12,4.31,3.8,4.12,4.12,184500
2018-01-22,4.15,4.24,4.01,4.21,4.21,46900
2018-01-23,4.24,4.29,4.02,4.05,4.05,49200
2018-01-24,4.06,4.24,4.06,4.21,4.21,30600
2018-01-25,4.19,4.39,4.17,4.26,4.26,17700
2018-01-26,4.35,4.94,4.12,4.83,4.83,164100
2018-01-29,4.79,5.4,4.45,5.31,5.31,411100
2018-01-30,5.26,5.95,5.09,5.28,5.28,406800
2018-01-31,5.33,5.33,5.0,5.09,5.09,56600
2018-02-01,5.06,5.15,4.74,5.07,5.07,54800
2018-02-02,5.09,5.34,4.98,5.24,5.24,33300
2018-02-05,5.25,5.47,5.25,5.36,5.36,43400
2018-02-06,5.33,5.46,4.81,4.83,4.83,32700
2018-02-07,4.82,4.82,4.21,4.33,4.33,35100
2018-02-08,5.0,5.0,4.36,4.64,4.64,48000
2018-02-09,4.64,4.7,4.35,4.44,4.44,50100
2018-02-12,4.41,4.45,4.313,4.42,4.42,11800
