Date,Open,High,Low,Close,Adj Close,Volume
2008-09-12,4.2,4.2,4.2,4.2,4.153763,0
2008-09-15,4.25,6.0,4.25,4.25,4.203214,0
2008-09-16,4.25,4.25,4.25,4.25,4.203214,0
2008-09-17,4.25,4.25,4.25,4.25,4.203214,0
2008-09-18,4.2,4.2,4.2,4.2,4.153763,0
2008-09-19,2.4,6.0,2.4,2.4,2.373579,0
2008-09-22,2.4,6.0,2.4,2.4,2.373579,0
2008-09-23,3.4,5.0,3.4,3.4,3.362571,0
2008-09-24,3.5,4.8,3.5,3.5,3.46147,0
2008-09-25,3.7,4.8,3.7,3.7,3.659268,0
2008-09-26,3.8,4.8,3.8,3.8,3.758167,0
2008-09-29,3.7,4.8,3.7,3.7,3.659268,0
2008-09-30,3.7,4.8,3.7,3.7,3.659268,0
2008-10-02,3.5,3.5,3.5,3.5,3.46147,0
2008-10-03,4.0,4.0,4.0,4.0,3.9559660000000005,0
2008-10-06,0.41,0.41,0.41,0.41,0.405486,0
2008-10-07,0.41,0.41,0.41,0.41,0.405486,0
2008-10-08,0.41,0.41,0.41,0.41,0.405486,0
2008-10-09,0.41,0.41,0.41,0.41,0.405486,0
2008-10-10,0.41,0.41,0.41,0.41,0.405486,0
2008-10-13,3.1,3.1,3.1,3.1,3.065873,0
2008-10-14,0.41,0.41,0.41,0.41,0.405486,0
2008-10-15,3.05,3.05,3.05,3.05,3.016424,0
2008-10-16,0.41,0.41,0.41,0.41,0.405486,0
2008-10-17,0.41,0.41,0.41,0.41,0.405486,0
2008-10-20,0.41,0.41,0.41,0.41,0.405486,0
2008-10-21,3.05,3.5,3.05,3.05,3.016424,0
2008-10-22,0.41,0.41,0.41,0.41,0.405486,0
2008-10-23,0.41,0.41,0.41,0.41,0.405486,0
2008-10-24,0.41,0.41,0.41,0.41,0.405486,0
2008-10-27,0.41,0.41,0.41,0.41,0.405486,0
2008-10-28,0.41,0.41,0.41,0.41,0.405486,0
2008-10-29,0.41,0.41,0.41,0.41,0.405486,0
2008-10-30,0.41,0.41,0.41,0.41,0.405486,0
2008-10-31,0.41,0.41,0.41,0.41,0.405486,0
2008-11-03,0.41,0.41,0.41,0.41,0.405486,0
2008-11-04,0.41,0.41,0.41,0.41,0.405486,0
2008-11-05,0.41,0.41,0.41,0.41,0.405486,0
2008-11-06,2.0,2.0,2.0,2.0,1.9779830000000003,0
2008-11-07,0.41,0.41,0.41,0.41,0.405486,0
2008-11-10,0.41,0.41,0.41,0.41,0.405486,0
2008-11-11,0.41,0.41,0.41,0.41,0.405486,0
2008-11-12,0.41,0.41,0.41,0.41,0.405486,0
