Date,Open,High,Low,Close,Adj Close,Volume
2008-09-12,21.610001,23.059998999999998,21.4,22.450001,19.717207000000002,4835500
2008-09-15,21.0,21.540001,20.08,20.209999,17.749876,5561300
2008-09-16,19.35,21.08,19.09,21.01,18.452494,7721800
2008-09-17,20.75,21.57,19.77,19.790001,17.381002,6200100
2008-09-18,20.530001000000002,22.030001000000002,19.950001,21.65,19.014589,6634900
2008-09-19,23.620001000000002,23.76,22.440001000000002,23.639999,20.76235,4827600
2008-09-22,23.219998999999998,24.059998999999998,22.879998999999998,23.32,20.481304,3797900
2008-09-23,22.879998999999998,22.9,20.15,20.42,17.934314999999998,6462500
2008-09-24,20.77,21.1,20.200001,20.33,17.855268,3558000
2008-09-25,20.879998999999998,20.93,20.110001,20.809998999999998,18.276844,3607900
2008-09-26,20.200001,20.75,19.780001000000002,20.700001,18.180235,4178100
2008-09-29,19.889999,20.030001000000002,17.85,18.48,16.230470999999998,3682200
2008-09-30,18.870001000000002,20.02,18.709999,20.02,17.583002,4517200
2008-10-01,19.51,19.639999,18.290001,18.82,16.529076,4320400
2008-10-02,18.57,18.58,15.92,16.190001000000002,14.219226,6276700
2008-10-03,15.96,17.440001000000002,15.82,16.0,14.052351999999999,4513200
2008-10-06,15.51,15.62,12.98,14.83,13.024776,8622000
2008-10-07,15.22,15.27,13.14,13.17,11.566844,6679900
2008-10-08,12.81,14.87,12.35,14.03,12.322152,8011900
2008-10-09,14.3,14.76,12.61,12.7,11.154056,6023500
2008-10-10,12.08,12.44,10.4,11.0,9.660993,9258200
2008-10-13,12.51,14.12,12.46,14.08,12.366071,5394500
2008-10-14,14.56,15.29,13.28,13.86,12.172851,7017400
2008-10-15,13.13,13.32,11.57,11.66,10.240652,5433200
2008-10-16,12.5,12.6,11.06,11.8,10.363611,6874300
2008-10-17,12.17,13.46,11.73,12.26,10.767613,5490400
2008-10-20,12.75,13.55,12.56,13.4,11.768846,5459100
2008-10-21,13.06,13.91,12.76,13.14,11.540494,4445800
2008-10-22,12.6,12.8,11.09,11.54,10.13526,6472800
2008-10-23,11.78,12.05,10.5,11.27,9.898125,7601400
2008-10-24,10.5,11.49,10.12,11.21,9.84543,6468200
2008-10-27,10.92,11.62,10.52,10.58,9.292117,3843000
2008-10-28,11.11,11.55,10.14,11.5,10.100128,4932900
2008-10-29,11.5,12.86,11.33,12.32,10.820312,4044500
2008-10-30,13.13,13.66,12.36,13.51,11.865451,4406300
2008-10-31,13.44,13.74,12.45,13.27,11.65467,4649700
2008-11-03,12.84,13.03,12.42,12.63,11.092573,3836500
2008-11-04,12.98,13.63,12.87,13.52,11.874235,5074200
2008-11-05,13.21,13.33,12.59,12.64,11.101358,4181600
2008-11-06,12.48,12.53,11.03,11.15,9.792732,4188100
2008-11-07,11.3,11.58,10.96,11.45,10.056214,3880900
2008-11-10,11.93,12.12,11.57,11.91,10.460218,3884400
2008-11-11,11.55,11.79,11.08,11.56,10.152824,4143600
2008-11-12,11.2,11.42,10.55,10.58,9.292117,3328000
2008-11-13,10.7,11.71,10.0,11.71,10.284564,5354400
2008-11-14,11.63,12.2,11.04,11.54,10.13526,4716100
2008-11-17,11.47,12.25,11.06,11.83,10.389958,5258000
2008-11-18,11.68,12.04,11.1,11.72,10.293348,5304200
2008-11-19,11.62,11.72,10.4,10.48,9.204288,5005200
2008-11-20,10.25,10.32,8.78,8.8,7.728794000000001,5568800
2008-11-21,9.16,9.95,8.84,9.95,8.738804,6012700
2008-11-24,10.42,11.45,10.19,11.14,9.783951,5714800
2008-11-25,11.2,11.32,10.75,11.24,9.871777999999999,5682300
2008-11-26,11.0,12.29,10.9,12.27,10.776399000000001,3009400
2008-11-28,12.22,12.55,11.83,12.49,10.969615,1901400
2008-12-01,12.1,12.1,9.71,9.72,8.536804,7611300
2008-12-02,9.88,10.45,9.44,10.33,9.072552,7897700
2008-12-03,10.01,10.7,9.8,10.64,9.344814,5283800
2008-12-04,10.36,10.6,9.19,9.47,8.317235,5187700
2008-12-05,9.01,9.69,8.64,9.64,8.466542,4355500
2008-12-08,10.19,10.55,9.93,10.25,9.002286999999999,4267000
2008-12-09,10.25,11.34,10.01,10.78,9.467772,5529600
2008-12-10,11.04,11.72,10.8,11.35,10.118567,4662900
2008-12-11,11.26,11.84,10.91,11.1,9.895697,5414200
2008-12-12,10.74,11.23,9.96,11.02,9.824374,6629200
2008-12-15,11.26,11.91,11.04,11.21,9.993757,4100900
2008-12-16,11.57,11.85,11.09,11.68,10.412766,4287900
2008-12-17,11.54,12.2,11.32,11.91,10.617813,4626500
2008-12-18,12.13,12.15,10.36,10.45,9.316217,5354100
2008-12-19,10.46,10.88,10.4,10.57,9.423195,8366100
2008-12-22,10.65,10.96,10.22,10.45,9.316217,4278600
2008-12-23,10.67,10.72,10.32,10.46,9.325132,2773100
2008-12-24,10.41,10.52,10.21,10.46,9.325132,682700
2008-12-26,10.73,10.84,10.43,10.83,9.65499,872100
2008-12-29,10.88,11.21,10.86,11.08,9.877862,2376900
2008-12-30,11.15,11.28,10.82,11.25,10.029418,1752400
2008-12-31,11.25,11.69,11.0,11.51,10.261211,2084400
2009-01-02,11.46,12.69,11.39,12.58,11.215117,4732600
2009-01-05,12.56,13.45,12.42,12.91,11.509314999999999,5926400
2009-01-06,13.35,13.5,12.6,12.72,11.339929,5838400
2009-01-07,12.68,12.68,11.74,12.29,10.956584,4892100
2009-01-08,12.11,12.69,11.84,12.65,11.277525,4544100
2009-01-09,12.69,12.72,11.58,11.75,10.475169000000001,3444100
2009-01-12,11.35,11.43,10.73,10.88,9.699561,5586000
2009-01-13,10.71,11.31,10.65,11.13,9.922439,4720700
2009-01-14,10.72,10.8,10.1,10.21,9.102253,6080800
2009-01-15,10.21,10.37,9.67,10.33,9.209237,8182900
2009-01-16,10.5,10.63,10.0,10.15,9.048765,7195300
2009-01-20,9.76,10.01,9.36,9.37,8.353392,8392300
2009-01-21,9.54,10.48,9.3,10.45,9.316217,7422900
2009-01-22,10.1,10.19,9.37,9.56,8.522776,6238200
2009-01-23,9.44,10.45,9.31,10.15,9.048765,5693000
2009-01-26,10.3,10.65,10.06,10.32,9.20032,4172200
2009-01-27,10.43,10.56,9.85,10.28,9.164660000000001,4437100
2009-01-28,10.52,10.69,10.32,10.57,9.423195,4125800
2009-01-29,10.22,10.44,9.84,9.96,8.879375999999999,4354900
2009-01-30,10.12,10.21,9.48,9.56,8.522776,4351700
2009-02-02,9.56,9.6,9.12,9.25,8.246413,4580200
2009-02-03,9.09,9.44,8.95,9.33,8.317731,5848600
2009-02-04,9.49,9.6,8.86,9.15,8.157264,7841000
2009-02-05,9.08,9.62,8.71,9.55,8.513863,5290400
2009-02-06,9.51,10.07,9.31,9.96,8.879375999999999,4471600
2009-02-09,10.44,10.71,10.14,10.37,9.244899,7208300
2009-02-10,10.35,10.63,9.65,9.73,8.674332000000001,8194900
2009-02-11,9.82,10.31,9.51,9.92,8.84372,7551800
2009-02-12,9.4,9.61,8.85,9.3,8.290988,12571400
2009-02-13,9.25,9.96,9.25,9.52,8.487117,8770400
2009-02-17,9.25,9.36,8.86,8.89,7.9254679999999995,7103900
2009-02-18,8.9,9.0,8.29,8.59,7.658017999999999,8369700
2009-02-19,8.98,9.05,8.6,8.68,7.7382539999999995,5281500
2009-02-20,8.42,8.91,8.32,8.64,7.702592999999999,8218400
2009-02-23,8.79,9.02,8.02,8.07,7.1944360000000005,5728800
2009-02-24,8.2,8.67,7.95,8.55,7.622362,7642200
2009-02-25,8.59,8.92,8.36,8.55,7.622362,6244600
2009-02-26,8.85,8.95,8.57,8.63,7.6936789999999995,6694500
2009-02-27,8.35,8.98,8.21,8.59,7.658017999999999,7178000
2009-03-02,8.22,8.66,7.64,7.74,6.900241,8202300
2009-03-03,8.04,8.2,7.63,7.66,6.828919,10406900
2009-03-04,7.8,8.52,7.8,8.25,7.354908,9086700
2009-03-05,8.02,8.44,7.72,7.85,6.9983059999999995,5306100
2009-03-06,7.96,8.32,7.49,7.8,6.953730999999999,5526600
2009-03-09,7.66,8.46,7.62,8.06,7.1855210000000005,4331700
2009-03-10,8.18,8.83,8.18,8.59,7.705821,6619400
2009-03-11,8.7,8.95,8.44,8.67,7.777583,3706000
2009-03-12,8.69,9.1,8.4,9.05,8.118472,5233200
2009-03-13,9.1,9.34,8.53,8.72,7.822439999999999,3663800
2009-03-16,8.6,9.36,8.6,9.12,8.181266,6909100
2009-03-17,8.96,9.64,8.95,9.62,8.629800999999999,4371200
2009-03-18,9.5,10.23,9.23,10.06,9.024511,7703100
2009-03-19,10.66,11.08,10.41,10.79,9.679371000000002,7953200
2009-03-20,10.9,10.9,9.97,9.99,8.961719,5247500
2009-03-23,10.37,11.07,10.27,10.94,9.813931,6467700
2009-03-24,10.87,10.87,10.31,10.38,9.311577,5642000
2009-03-25,10.26,10.44,9.63,10.07,9.033485,5862000
2009-03-26,10.37,10.79,10.13,10.44,9.365399,5254700
2009-03-27,10.0,10.16,9.45,9.68,8.683624,5229100
2009-03-30,9.14,9.32,8.9,9.18,8.235095,4476500
2009-03-31,9.35,9.5,8.92,8.96,8.037737,4563400
2009-04-01,8.8,9.29,8.56,9.19,8.244061,5498800
2009-04-02,9.7,10.19,9.57,10.04,9.006571000000001,4647900
2009-04-03,9.8,11.02,9.61,10.9,9.778048,7393300
2009-04-06,10.72,10.73,10.19,10.38,9.311577,4411400
2009-04-07,10.17,10.39,9.97,10.31,9.248783,4826200
