Date,Open,High,Low,Close,Adj Close,Volume
2008-09-12,10.03,10.14,9.83,10.14,10.14,72600
2008-09-15,9.79,10.24,9.22,9.22,9.22,115800
2008-09-16,9.22,9.63,8.81,9.04,9.04,186600
2008-09-17,8.92,9.22,8.31,8.32,8.32,111300
2008-09-18,8.58,8.99,8.09,8.55,8.55,290200
2008-09-19,9.06,9.82,8.96,9.78,9.78,463800
2008-09-22,9.77,9.84,7.72,9.15,9.15,245200
2008-09-23,9.15,9.72,8.84,9.06,9.06,71100
2008-09-24,9.08,9.48,9.0,9.13,9.13,95400
2008-09-25,9.17,9.25,8.95,8.97,8.97,82500
2008-09-26,8.8,9.09,8.77,9.08,9.08,75700
2008-09-29,8.88,9.06,8.2,8.3,8.3,79900
2008-09-30,8.42,8.8,8.27,8.6,8.6,371500
2008-10-01,8.5,8.67,8.22,8.55,8.55,71700
2008-10-02,8.47,8.76,8.14,8.54,8.54,157000
2008-10-03,8.67,8.94,7.55,7.6,7.6,187400
2008-10-06,7.49,7.51,6.26,6.85,6.85,283500
2008-10-07,6.96,7.4,6.0,6.0,6.0,260300
2008-10-08,5.9,6.45,5.82,5.87,5.87,250400
2008-10-09,6.01,6.39,5.49,5.49,5.49,588500
2008-10-10,5.27,5.41,4.52,5.41,5.41,342200
2008-10-13,5.73,6.25,5.14,6.25,6.25,283200
2008-10-14,6.44,6.55,6.0,6.26,6.26,226900
2008-10-15,6.2,6.41,5.86,5.93,5.93,210400
2008-10-16,6.01,6.73,5.88,6.72,6.72,508600
2008-10-17,6.52,7.23,6.23,6.61,6.61,244300
2008-10-20,6.72,7.26,6.39,7.26,7.26,152500
2008-10-21,7.12,7.84,6.98,7.01,7.01,188100
2008-10-22,6.99,7.24,6.32,6.42,6.42,152800
2008-10-23,6.53,7.03,6.01,6.33,6.33,150900
2008-10-24,5.73,5.83,5.5,5.5,5.5,156400
2008-10-27,5.4,5.84,4.99,5.07,5.07,178800
2008-10-28,5.3,5.76,4.78,5.76,5.76,154400
2008-10-29,5.7,5.8,5.22,5.51,5.51,156500
2008-10-30,5.69,5.69,5.15,5.4,5.4,200000
2008-10-31,5.34,6.64,5.2,6.37,6.37,480700
2008-11-03,6.37,7.55,6.0,7.53,7.53,205400
2008-11-04,7.67,7.89,7.13,7.28,7.28,190400
2008-11-05,7.19,7.39,6.91,7.12,7.12,216500
2008-11-06,7.06,7.35,6.94,6.98,6.98,190800
2008-11-07,7.07,7.98,6.77,7.76,7.76,287200
2008-11-10,7.96,7.96,7.56,7.64,7.64,243700
2008-11-11,7.58,7.71,7.41,7.46,7.46,119000
2008-11-12,7.3,7.46,6.55,6.61,6.61,98600
2008-11-13,6.6,7.9,6.09,7.89,7.89,189800
2008-11-14,7.7,7.74,7.09,7.26,7.26,108500
2008-11-17,6.65,6.88,6.06,6.26,6.26,159700
2008-11-18,6.3,6.46,5.7,6.18,6.18,126100
2008-11-19,6.13,6.13,5.47,5.49,5.49,171100
2008-11-20,5.5,5.62,4.65,4.7,4.7,143000
2008-11-21,4.82,5.2,4.01,4.71,4.71,204400
2008-11-24,4.81,5.21,4.68,4.88,4.88,233100
2008-11-25,4.96,5.08,4.44,4.95,4.95,76100
2008-11-26,4.78,5.65,4.19,5.64,5.64,106300
2008-11-28,5.52,6.0,5.22,6.0,6.0,33500
2008-12-01,5.78,5.78,4.28,4.34,4.34,135500
2008-12-02,4.47,5.07,4.38,5.07,5.07,169700
2008-12-03,4.91,6.32,4.76,5.99,5.99,221500
2008-12-04,5.9,6.33,5.27,5.47,5.47,176300
2008-12-05,5.35,5.75,5.0,5.72,5.72,139500
2008-12-08,5.96,6.08,5.43,5.58,5.58,191900
2008-12-09,5.48,6.18,5.47,5.9,5.9,123600
2008-12-10,5.96,6.21,5.67,6.13,6.13,100900
2008-12-11,6.04,6.34,5.68,5.91,5.91,290900
2008-12-12,5.73,6.02,5.46,5.97,5.97,124000
