Date,Open,High,Low,Close,Adj Close,Volume
2015-01-30,10.0,10.49,9.21,9.4,9.4,1279100
2015-02-02,9.55,9.9,9.4,9.5,9.5,70900
2015-02-03,9.51,9.67,9.25,9.5,9.5,51900
2015-02-04,9.6,9.6,9.25,9.38,9.38,35200
2015-02-05,9.22,9.4,9.15,9.33,9.33,53100
2015-02-06,9.27,9.35,9.027,9.29,9.29,38000
2015-02-09,9.16,9.3,9.1,9.1,9.1,14000
2015-02-10,9.15,9.3,9.08,9.08,9.08,28100
2015-02-11,9.02,9.49,9.02,9.49,9.49,23000
2015-02-12,9.5,9.5,9.27,9.5,9.5,22700
2015-02-13,9.5,9.5,9.271,9.34,9.34,18300
2015-02-17,9.22,9.45,9.22,9.26,9.26,19800
2015-02-18,9.356,10.2,9.356,10.2,10.2,53000
2015-02-19,10.0,10.25,9.62,9.97,9.97,33200
2015-02-20,9.66,10.25,9.66,10.14,10.14,34200
2015-02-23,10.2,10.2,9.75,10.15,10.15,24200
2015-02-24,10.8,12.84,10.55,12.52,12.52,548100
2015-02-25,12.67,14.678,12.55,13.4,13.4,388200
2015-02-26,13.54,14.49,12.78,14.47,14.47,183600
2015-02-27,14.89,14.97,13.12,13.43,13.43,154000
2015-03-02,15.0,20.18,14.25,17.42,17.42,868200
2015-03-03,18.0,21.0,17.6,18.440001000000002,18.440001000000002,574000
2015-03-04,18.370001000000002,18.85,15.2,16.379998999999998,16.379998999999998,332900
2015-03-05,16.41,18.85,16.41,17.209999,17.209999,104200
2015-03-06,17.1,17.969998999999998,16.75,17.57,17.57,106300
2015-03-09,17.33,18.275,16.700001,17.379998999999998,17.379998999999998,64600
2015-03-10,17.43,17.5,16.01,16.190001000000002,16.190001000000002,128700
2015-03-11,16.16,16.940001000000002,16.040001,16.34,16.34,87200
2015-03-12,16.4,16.549999,13.49,14.25,14.25,143600
2015-03-13,14.24,14.351,13.5,13.75,13.75,112700
2015-03-16,13.73,15.199,13.6,15.01,15.01,165100
2015-03-17,15.0,16.997,15.0,16.459999,16.459999,117000
2015-03-18,16.6,17.57,15.317,16.559998999999998,16.559998999999998,129600
2015-03-19,16.42,17.15,15.289,15.6,15.6,137500
2015-03-20,15.58,16.93,14.0,14.2,14.2,212900
2015-03-23,14.06,16.4,14.0,15.72,15.72,86900
2015-03-24,15.71,16.75,14.55,15.32,15.32,44500
2015-03-25,15.29,15.934,13.81,14.62,14.62,61500
2015-03-26,14.21,14.518,13.95,14.34,14.34,34000
